file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\jeffr\OneDrive\Desktop\Hotel-Management-Project-Java-master\Main.java,NotAvailable,toString/0,false,77,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
C:\Users\jeffr\OneDrive\Desktop\Hotel-Management-Project-Java-master\Main.java,Doubleroom,Doubleroom/0,true,59,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,false
C:\Users\jeffr\OneDrive\Desktop\Hotel-Management-Project-Java-master\Main.java,Doubleroom,"Doubleroom/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",true,64,0,1,1,0,1,0,8,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,false
C:\Users\jeffr\OneDrive\Desktop\Hotel-Management-Project-Java-master\Main.java,Singleroom,"Singleroom/3[java.lang.String,java.lang.String,java.lang.String]",true,46,0,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,false
C:\Users\jeffr\OneDrive\Desktop\Hotel-Management-Project-Java-master\Main.java,Singleroom,Singleroom/0,true,42,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,false
C:\Users\jeffr\OneDrive\Desktop\Hotel-Management-Project-Java-master\Main.java,write,run/0,false,485,0,0,0,0,2,2,10,0,2,0,2,0,0,0,0,1,0,2,0,2,1,1,0,0,0,13,1,0,false
C:\Users\jeffr\OneDrive\Desktop\Hotel-Management-Project-Java-master\Main.java,write,write/1[holder],true,481,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
C:\Users\jeffr\OneDrive\Desktop\Hotel-Management-Project-Java-master\Main.java,Main,main/1[java.lang.String[]],false,501,3,6,0,6,25,13,69,0,8,1,13,0,0,1,6,1,1,15,34,14,8,8,0,0,0,34,9,0,false
C:\Users\jeffr\OneDrive\Desktop\Hotel-Management-Project-Java-master\Main.java,Hotel,"deallocate/2[int,int]",false,358,1,2,1,1,17,4,65,4,2,2,4,1,1,0,12,0,0,17,8,8,4,3,0,0,0,17,8,0,false
C:\Users\jeffr\OneDrive\Desktop\Hotel-Management-Project-Java-master\Main.java,Hotel,"order/2[int,int]",false,440,1,2,1,1,9,6,35,0,3,2,6,0,0,1,2,1,0,5,5,3,0,3,0,0,0,18,8,0,false
C:\Users\jeffr\OneDrive\Desktop\Hotel-Management-Project-Java-master\Main.java,Hotel,"bill/2[int,int]",false,287,0,1,1,0,9,2,65,0,6,2,2,0,0,4,0,0,0,34,17,14,9,2,0,0,0,9,8,0,false
C:\Users\jeffr\OneDrive\Desktop\Hotel-Management-Project-Java-master\Main.java,Hotel,"CustDetails/2[int,int]",false,95,2,3,1,2,6,3,36,0,6,2,3,0,0,0,0,0,0,8,5,13,0,1,0,0,0,15,8,0,false
C:\Users\jeffr\OneDrive\Desktop\Hotel-Management-Project-Java-master\Main.java,Hotel,bookroom/1[int],false,130,2,3,1,2,21,4,83,4,2,1,4,1,1,4,8,4,0,15,15,11,7,3,0,0,0,15,8,0,false
C:\Users\jeffr\OneDrive\Desktop\Hotel-Management-Project-Java-master\Main.java,Hotel,availability/1[int],false,248,0,1,1,0,13,1,29,0,2,1,1,0,0,4,4,0,0,2,10,5,1,3,0,0,0,9,8,0,false
C:\Users\jeffr\OneDrive\Desktop\Hotel-Management-Project-Java-master\Main.java,Hotel,features/1[int],false,231,0,1,1,0,5,1,19,0,0,1,1,0,0,0,0,0,0,5,4,0,0,1,0,0,0,8,8,0,false
C:\Users\jeffr\OneDrive\Desktop\Hotel-Management-Project-Java-master\Main.java,Food,"Food/2[int,int]",true,17,0,1,1,0,5,0,18,0,0,2,0,0,0,0,0,0,0,0,8,6,4,1,0,0,0,4,0,0,false
